0,1,2,3
03/20/19 17:48:50.657,-56.9,1008.6,51.7
03/20/19 17:48:50.761,-56.6,1007.0,52.0
03/20/19 17:48:50.864,-55.1,1010.6,50.6
03/20/19 17:48:50.966,-56.2,1007.8,51.7
03/20/19 17:48:51.069,-56.6,1008.1,52.2
03/20/19 17:48:51.173,-56.6,1006.4,54.5
03/20/19 17:48:51.276,-55.1,1007.5,50.4
03/20/19 17:48:51.378,-57.3,1006.3,52.0
03/20/19 17:48:51.481,-55.9,1007.7,51.7
03/20/19 17:48:51.585,-56.9,1008.4,52.2
03/20/19 17:48:51.688,-57.0,1006.1,52.6
03/20/19 17:48:51.790,-56.2,1006.6,53.3
03/20/19 17:48:51.893,-55.6,1005.3,51.7
03/20/19 17:48:51.996,-57.5,1004.9,51.5
03/20/19 17:48:52.100,-56.4,1008.4,51.3
03/20/19 17:48:52.202,-56.4,1007.5,52.4
03/20/19 17:48:52.305,-56.6,1005.4,52.0
03/20/19 17:48:52.408,-55.9,1006.8,52.2
03/20/19 17:48:52.512,-57.3,1006.8,53.6
03/20/19 17:48:52.614,-57.1,1005.7,51.8
03/20/19 17:48:52.717,-56.1,1008.0,52.3
03/20/19 17:48:52.820,-57.8,1006.2,54.0
03/20/19 17:48:52.924,-57.2,1006.9,50.2
03/20/19 17:48:53.026,-55.3,1008.0,52.9
03/20/19 17:48:53.130,-58.6,1005.4,52.8
03/20/19 17:48:53.233,-57.5,1008.2,52.9
03/20/19 17:48:53.336,-56.4,1006.6,52.9
03/20/19 17:48:53.438,-55.3,1006.2,51.0
03/20/19 17:48:53.542,-57.6,1008.8,51.5
03/20/19 17:48:53.645,-55.8,1007.8,52.9
03/20/19 17:48:53.748,-56.9,1008.3,52.5
03/20/19 17:48:53.850,-56.2,1008.4,52.5
03/20/19 17:48:53.954,-55.8,1007.5,53.4
03/20/19 17:48:54.057,-57.2,1009.9,50.9
03/20/19 17:48:54.160,-55.5,1007.5,52.3
03/20/19 17:48:54.263,-55.0,1006.9,52.3
03/20/19 17:48:54.366,-55.3,1007.6,52.2
03/20/19 17:48:54.469,-55.5,1007.5,52.0
03/20/19 17:48:54.572,-56.5,1007.1,49.4
03/20/19 17:48:54.675,-56.2,1008.8,54.0
03/20/19 17:48:54.778,-55.5,1006.7,52.6
03/20/19 17:48:54.881,-56.5,1006.4,53.4
03/20/19 17:48:54.984,-54.7,1006.4,52.3
03/20/19 17:48:55.087,-42.8,1009.1,58.1
03/20/19 17:48:55.190,-59.6,1004.8,52.0
03/20/19 17:48:55.293,-55.4,1008.5,51.2
03/20/19 17:48:55.396,-55.9,1004.8,52.3
03/20/19 17:48:55.499,-56.6,1007.4,54.6
03/20/19 17:48:55.602,-55.3,1008.8,52.7
03/20/19 17:48:55.705,-55.8,1005.0,52.2
03/20/19 17:48:55.808,-56.8,1007.0,53.6
03/20/19 17:48:55.911,-55.4,1007.2,53.1
03/20/19 17:48:56.014,-56.5,1006.4,52.9
03/20/19 17:48:56.117,-56.7,1008.3,53.1
03/20/19 17:48:56.220,-57.1,1008.8,52.1
03/20/19 17:48:56.323,-55.9,1006.3,52.8
03/20/19 17:48:56.426,-58.9,1008.0,52.3
03/20/19 17:48:56.529,-54.7,1008.9,53.5
03/20/19 17:48:56.632,-57.6,1007.4,52.5
03/20/19 17:48:56.735,-156.2,911.9,72.2
03/20/19 17:48:56.838,-43.1,996.0,49.5
03/20/19 17:48:56.941,-44.5,1006.3,50.8
03/20/19 17:48:57.044,-43.7,1006.4,50.4
03/20/19 17:48:57.147,-44.0,1005.5,49.4
03/20/19 17:48:57.250,-45.3,1006.4,48.9
03/20/19 17:48:57.353,-44.8,1008.6,49.1
03/20/19 17:48:57.457,-44.2,1005.0,49.4
03/20/19 17:48:57.559,-44.2,1007.1,49.4
03/20/19 17:48:57.662,-44.1,1008.9,50.8
03/20/19 17:48:57.765,-43.4,1007.0,49.3
03/20/19 17:48:57.868,-46.4,1008.7,50.4
03/20/19 17:48:57.971,-45.1,1008.0,50.9
03/20/19 17:48:58.074,-44.2,1006.8,50.1
03/20/19 17:48:58.177,-44.0,1008.3,48.6
03/20/19 17:48:58.281,-44.8,1009.2,49.4
03/20/19 17:48:58.383,-38.3,1009.5,49.3
03/20/19 17:48:58.486,-44.0,1009.2,51.4
