,Date-Time,Yaw[0](deg),Pitch[0](deg),Roll[0](deg),Yaw[1](deg),Pitch[1](deg),Roll[1](deg)
285,2019-10-22T18:03:30Z, 81.58,-49.21,79.14,0.00,0.60,0.00
286,2019-10-22T18:03:32Z, 81.60,-49.20,79.12,0.00,0.60,0.00
287,2019-10-22T18:03:32Z, 81.58,-49.22,79.15,0.00,0.60,0.00
288,2019-10-22T18:03:33Z, 81.60,-49.20,79.13,0.00,0.60,0.00
289,2019-10-22T18:03:35Z, 81.59,-49.18,79.12,0.00,0.60,0.00
290,2019-10-22T18:03:36Z, 81.58,-49.17,79.12,0.00,0.60,0.00
291,2019-10-22T18:03:37Z, 81.58,-49.20,79.12,0.00,0.60,0.00
292,2019-10-22T18:03:38Z, 81.58,-49.22,79.13,0.00,0.60,0.00
293,2019-10-22T18:03:39Z, 81.57,-49.22,79.13,0.00,0.60,0.00
294,2019-10-22T18:03:40Z, 81.56,-49.22,79.14,0.00,0.60,0.00
295,2019-10-22T18:03:41Z, 81.55,-49.20,79.14,0.00,0.60,0.00
296,2019-10-22T18:03:42Z, 81.55,-49.19,79.13,0.00,0.60,0.00
297,2019-10-22T18:03:43Z, 81.54,-49.19,79.14,0.00,0.60,0.00
298,2019-10-22T18:03:44Z, 81.55,-49.18,79.12,0.00,0.60,0.00
299,2019-10-22T18:03:45Z, 81.55,-49.19,79.12,0.00,0.60,0.00
300,2019-10-22T18:03:46Z, 81.54,-49.19,79.11,0.00,0.60,0.00
301,2019-10-22T18:03:47Z, 81.54,-49.18,79.11,0.00,0.60,0.00
302,2019-10-22T18:03:48Z, 81.53,-49.20,79.13,0.00,0.60,0.00
303,2019-10-22T18:03:49Z, 81.53,-49.18,79.11,0.00,0.60,0.00
304,2019-10-22T18:03:50Z, 81.53,-49.17,79.11,0.00,0.60,0.00
305,2019-10-22T18:03:51Z, 81.52,-49.20,79.12,0.00,0.60,0.00
306,2019-10-22T18:03:52Z, 81.55,-49.14,79.07,0.00,0.60,0.00
307,2019-10-22T18:03:53Z, 81.53,-49.17,79.10,0.00,0.60,0.00
308,2019-10-22T18:03:54Z, 81.53,-49.17,79.10,0.00,0.60,0.00
309,2019-10-22T18:03:55Z, 81.52,-49.16,79.10,0.00,0.60,0.00
310,2019-10-22T18:03:56Z, 81.52,-49.15,79.09,0.00,0.60,0.00
311,2019-10-22T18:03:57Z, 81.53,-49.14,79.09,0.00,0.60,0.00
312,2019-10-22T18:03:58Z, 81.54,-49.12,79.06,0.00,0.60,0.00
313,2019-10-22T18:03:59Z, 81.54,-49.10,79.05,0.00,0.60,0.00
314,2019-10-22T18:04:01Z, 81.52,-49.17,79.08,0.00,0.60,0.00
315,2019-10-22T18:04:02Z, 81.52,-49.18,79.08,0.00,0.60,0.00
